customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,score_id,score,date_recorded,risk_level,total_loans,defaults,paid_loans,approved_loans,total_balance,account_id,average_transaction,transaction_count,total_amount,min_transaction,max_transaction,transaction_std_dev,has_savings,has_credit,has_loan_account,has_current,kmeans_cluster,hc_cluster,dbscan_cluster,segment_label
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,1,554,2018-05-25,High,0,0,0,0,36333487.28,NA,0,NA,NA,NA,NA,NA,0,0,1,0,3,1,0,Frequent Spenders
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,2,596,2024-03-13,High,0,0,0,0,36333487.28,NA,0,NA,NA,NA,NA,NA,0,0,1,0,3,1,0,Frequent Spenders
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,3,602,2022-11-01,Medium,0,0,0,0,36333487.28,NA,0,NA,NA,NA,NA,NA,0,0,1,0,3,1,0,Frequent Spenders
2,Thet Win,Other,1972-04-29,53,Widowed,Primary,Farmer,740367.63,Bago,2024-03-23,thet.win@gmail.com,959878845998,4,493,2025-03-29,High,0,0,0,0,76063212.72,2,2347534.3255555555,18,42255617.86,158208.81,4826212.82,1376168.0949775933,1,1,0,1,4,2,0,Infrequent Users
2,Thet Win,Other,1972-04-29,53,Widowed,Primary,Farmer,740367.63,Bago,2024-03-23,thet.win@gmail.com,959878845998,4,493,2025-03-29,High,0,0,0,0,76063212.72,3,2324349.9505,20,46486999.01,451744.31,4792605.21,1305616.955423631,1,1,0,1,4,2,0,Infrequent Users
2,Thet Win,Other,1972-04-29,53,Widowed,Primary,Farmer,740367.63,Bago,2024-03-23,thet.win@gmail.com,959878845998,4,493,2025-03-29,High,0,0,0,0,76063212.72,4,2229189.74,17,37896225.58,35776.69,4858879.45,1572712.1843917368,1,1,0,1,4,2,0,Infrequent Users
3,Nu Htun,Other,1951-03-18,74,Married,Master,Bank Employee,3596227.38,Monywa,2017-02-17,nu.htun@gmail.com,959474801417,5,500,2023-11-29,High,0,0,0,0,42299889.48,5,2078750.0608333333,24,49890001.46,63823.56,4637275.32,1385440.1493180047,1,0,0,0,2,2,1,Young Borrowers
3,Nu Htun,Other,1951-03-18,74,Married,Master,Bank Employee,3596227.38,Monywa,2017-02-17,nu.htun@gmail.com,959474801417,6,513,2021-03-25,High,0,0,0,0,42299889.48,5,2078750.0608333333,24,49890001.46,63823.56,4637275.32,1385440.1493180047,1,0,0,0,2,2,1,Young Borrowers
3,Nu Htun,Other,1951-03-18,74,Married,Master,Bank Employee,3596227.38,Monywa,2017-02-17,nu.htun@gmail.com,959474801417,7,459,2018-02-10,High,0,0,0,0,42299889.48,5,2078750.0608333333,24,49890001.46,63823.56,4637275.32,1385440.1493180047,1,0,0,0,2,2,1,Young Borrowers
3,Nu Htun,Other,1951-03-18,74,Married,Master,Bank Employee,3596227.38,Monywa,2017-02-17,nu.htun@gmail.com,959474801417,8,453,2023-05-30,High,0,0,0,0,42299889.48,5,2078750.0608333333,24,49890001.46,63823.56,4637275.32,1385440.1493180047,1,0,0,0,2,2,1,Young Borrowers
