customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,response_id,campaign_id,response_date,responded,responded_flag
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,4,1,2024-09-23,False,0
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,1004,2,2024-09-24,False,0
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,2004,3,2024-06-06,False,0
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,3004,4,2023-08-08,True,1
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,4004,5,2024-11-10,False,0
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,5004,6,2024-10-17,True,1
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,6004,7,2024-04-26,True,1
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,7004,8,2023-09-10,True,1
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,8004,9,2023-07-13,True,1
4,Win Myint,Male,1973-03-22,52,Divorced,PhD,Farmer,3866394.63,Naypyidaw,2016-03-22,win.myint@gmail.com,959278065412,9004,10,2023-07-08,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,70,1,2024-09-23,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,1070,2,2024-10-29,False,0
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,2070,3,2024-05-22,False,0
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,3070,4,2023-08-10,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,4070,5,2024-11-10,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,5070,6,2024-10-11,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,6070,7,2024-04-29,False,0
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,7070,8,2023-09-11,False,0
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,8070,9,2023-08-07,True,1
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943,9070,10,2023-06-11,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,73,1,2024-09-16,False,0
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,1073,2,2024-11-02,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,2073,3,2024-06-14,False,0
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,3073,4,2023-08-23,False,0
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,4073,5,2024-10-31,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,5073,6,2024-10-18,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,6073,7,2024-04-29,False,0
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,7073,8,2023-09-17,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,8073,9,2023-08-10,True,1
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653,9073,10,2023-06-11,True,1
78,Thura Zaw,Male,2002-10-10,23,Widowed,Master,Government Employee,4250376.62,Naypyidaw,2020-01-10,thura.zaw@gmail.com,959857500688,78,1,2024-09-07,False,0
78,Thura Zaw,Male,2002-10-10,23,Widowed,Master,Government Employee,4250376.62,Naypyidaw,2020-01-10,thura.zaw@gmail.com,959857500688,1078,2,2024-10-29,True,1
78,Thura Zaw,Male,2002-10-10,23,Widowed,Master,Government Employee,4250376.62,Naypyidaw,2020-01-10,thura.zaw@gmail.com,959857500688,2078,3,2024-06-29,False,0
