customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone,response_id,campaign_id,response_date,responded,responded_flag
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,1,1,2024-09-04,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,1001,2,2024-10-27,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,2001,3,2024-06-23,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,3001,4,2023-07-18,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,4001,5,2024-11-11,False,0
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,5001,6,2024-09-21,False,0
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,6001,7,2024-04-22,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,7001,8,2023-09-15,True,1
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,8001,9,2023-07-27,False,0
1,Hla Htun,Other,1973-11-27,52,Divorced,Middle School,Business Owner,955828.26,Mandalay,2017-06-06,hla.htun@gmail.com,959907634543,9001,10,2023-06-07,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,10,1,2024-09-10,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,1010,2,2024-10-12,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,2010,3,2024-05-29,True,1
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,3010,4,2023-07-18,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,4010,5,2024-10-28,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,5010,6,2024-10-09,True,1
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,6010,7,2024-04-30,True,1
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,7010,8,2023-09-09,False,0
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,8010,9,2023-07-27,True,1
10,Myo Zaw,Male,1995-07-15,30,Married,Master,Merchant,3598555.47,Mandalay,2023-12-23,myo.zaw@gmail.com,959476118082,9010,10,2023-06-27,False,0
15,Nu Moe,Female,1998-01-05,27,Divorced,Middle School,Government Employee,2694773.58,Mandalay,2020-03-17,nu.moe@gmail.com,959726337240,15,1,2024-08-27,True,1
15,Nu Moe,Female,1998-01-05,27,Divorced,Middle School,Government Employee,2694773.58,Mandalay,2020-03-17,nu.moe@gmail.com,959726337240,1015,2,2024-09-29,True,1
15,Nu Moe,Female,1998-01-05,27,Divorced,Middle School,Government Employee,2694773.58,Mandalay,2020-03-17,nu.moe@gmail.com,959726337240,2015,3,2024-06-08,True,1
15,Nu Moe,Female,1998-01-05,27,Divorced,Middle School,Government Employee,2694773.58,Mandalay,2020-03-17,nu.moe@gmail.com,959726337240,3015,4,2023-07-20,False,0
